upstream_type,upstream_luid,upstream_name,upstream_datasource_type,downstream_type,downstream_luid,downstream_name,runtime
Datasource,6e0074a8-26ad-4e58-a495-91fdf124947d,Refunds Full (Prep),Published,Datasource,e2b3f1c1-03cc-4e22-bac6-7de2e568265d,Finance Core (Prep),2026-04-24 23:45:39.859177
Datasource,6e0074a8-26ad-4e58-a495-91fdf124947d,Refunds Full (Prep),Published,Workbook,11ee41ed-954d-45dd-bdab-52949e93ae02,Return Behavior,2026-04-24 23:45:39.859177
Datasource,6e0074a8-26ad-4e58-a495-91fdf124947d,Refunds Full (Prep),Published,Flow,c15b16e3-21e1-413c-b722-d20bd66b52bd,Finance Core (Flow),2026-04-24 23:45:39.859177
Datasource,3fd13025-cada-4360-bb32-5e682365af78,Refunds,Published,Datasource,6e0074a8-26ad-4e58-a495-91fdf124947d,Refunds Full (Prep),2026-04-24 23:45:39.859177
Datasource,3fd13025-cada-4360-bb32-5e682365af78,Refunds,Published,Datasource,e2b3f1c1-03cc-4e22-bac6-7de2e568265d,Finance Core (Prep),2026-04-24 23:45:39.859177
Datasource,3fd13025-cada-4360-bb32-5e682365af78,Refunds,Published,Workbook,11ee41ed-954d-45dd-bdab-52949e93ae02,Return Behavior,2026-04-24 23:45:39.859177
Datasource,3fd13025-cada-4360-bb32-5e682365af78,Refunds,Published,Flow,bafcca6d-9cc6-401a-bb89-5f5d1c8c5f13,Refunds Full (Flow),2026-04-24 23:45:39.859177
Datasource,3fd13025-cada-4360-bb32-5e682365af78,Refunds,Published,Flow,c15b16e3-21e1-413c-b722-d20bd66b52bd,Finance Core (Flow),2026-04-24 23:45:39.859177
Datasource,4057d5ed-d8a8-46e3-b1df-997994c9220e,Viz Load Times,Published,Workbook,b301bf54-08ad-4e99-9c3a-df5418a5c42d,Admin Insights Starter,2026-04-24 23:45:39.859177
Datasource,a1948607-2b0e-464f-84e6-6db420a0c17f,TS Users,Published,Workbook,b301bf54-08ad-4e99-9c3a-df5418a5c42d,Admin Insights Starter,2026-04-24 23:45:39.859177
Datasource,e4a1ec7c-c849-4f1a-ad59-eaac3b897607,TS Events,Published,Workbook,b301bf54-08ad-4e99-9c3a-df5418a5c42d,Admin Insights Starter,2026-04-24 23:45:39.859177
Datasource,3a7877b2-0e91-4e7d-845f-da5cf4508545,Products,Published,Datasource,e2b3f1c1-03cc-4e22-bac6-7de2e568265d,Finance Core (Prep),2026-04-24 23:45:39.859177
Datasource,3a7877b2-0e91-4e7d-845f-da5cf4508545,Products,Published,Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),2026-04-24 23:45:39.859177
Datasource,3a7877b2-0e91-4e7d-845f-da5cf4508545,Products,Published,Workbook,16e93c1b-128f-4279-89cc-f0182a93447f,Refund Rate Tracker,2026-04-24 23:45:39.859177
Datasource,3a7877b2-0e91-4e7d-845f-da5cf4508545,Products,Published,Workbook,96d1f754-2477-4aaa-8059-33bbf934878f,Product Velocity,2026-04-24 23:45:39.859177
Datasource,3a7877b2-0e91-4e7d-845f-da5cf4508545,Products,Published,Flow,c15b16e3-21e1-413c-b722-d20bd66b52bd,Finance Core (Flow),2026-04-24 23:45:39.859177
Datasource,3a7877b2-0e91-4e7d-845f-da5cf4508545,Products,Published,Flow,e1b1c295-4ff1-49de-bfc0-7b221bf4c4ea,Orders Enriched (Flow),2026-04-24 23:45:39.859177
Datasource,0fdb32d4-3c3b-4d37-96fe-5c4fb1adb044,Groups,Published,Workbook,b301bf54-08ad-4e99-9c3a-df5418a5c42d,Admin Insights Starter,2026-04-24 23:45:39.859177
Datasource,e2b3f1c1-03cc-4e22-bac6-7de2e568265d,Finance Core (Prep),Published,Workbook,16e93c1b-128f-4279-89cc-f0182a93447f,Refund Rate Tracker,2026-04-24 23:45:39.859177
Datasource,e2b3f1c1-03cc-4e22-bac6-7de2e568265d,Finance Core (Prep),Published,Workbook,8cb8d287-ace0-4b78-a25d-d0f45c5d0567,Revenue Overview,2026-04-24 23:45:39.859177
Datasource,2716957e-89ff-477a-9864-bc3f733c36d4,Subscriptions,Published,,,,2026-04-24 23:45:39.859177
Datasource,17b5b806-6a49-4ace-8a3b-e5334133dae2,Customer360 (Prep),Published,Workbook,1bea8d85-4bb1-4e53-9ad3-8706fcb29a10,Customer Acquisition,2026-04-24 23:45:39.859177
Datasource,17b5b806-6a49-4ace-8a3b-e5334133dae2,Customer360 (Prep),Published,Workbook,19d1ed1a-5c17-4a81-bcc2-46f37ec77f7a,Top Customers,2026-04-24 23:45:39.859177
Datasource,17b5b806-6a49-4ace-8a3b-e5334133dae2,Customer360 (Prep),Published,Workbook,11ee41ed-954d-45dd-bdab-52949e93ae02,Return Behavior,2026-04-24 23:45:39.859177
Datasource,17b5b806-6a49-4ace-8a3b-e5334133dae2,Customer360 (Prep),Published,Workbook,1d0be8f6-be45-479b-b88e-45f771078f71,Repeat Purchase Analysis,2026-04-24 23:45:39.859177
Datasource,6d6667b7-937c-4b06-8bd9-b8d31568ceaa,Campaigns,Published,Datasource,4a3b6bee-5df9-4cc3-af0b-da50c17c5298,Campaign Performance (Prep),2026-04-24 23:45:39.859177
Datasource,6d6667b7-937c-4b06-8bd9-b8d31568ceaa,Campaigns,Published,Workbook,1bea8d85-4bb1-4e53-9ad3-8706fcb29a10,Customer Acquisition,2026-04-24 23:45:39.859177
Datasource,6d6667b7-937c-4b06-8bd9-b8d31568ceaa,Campaigns,Published,Workbook,7f0d1798-bdaa-4c58-94e9-befea74bbd7f,Campaign ROI,2026-04-24 23:45:39.859177
Datasource,6d6667b7-937c-4b06-8bd9-b8d31568ceaa,Campaigns,Published,Flow,ea17929c-acb7-4d71-919c-87757b704766,Campaign Performance (Flow),2026-04-24 23:45:39.859177
Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),Published,Datasource,e2b3f1c1-03cc-4e22-bac6-7de2e568265d,Finance Core (Prep),2026-04-24 23:45:39.859177
Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),Published,Workbook,16e93c1b-128f-4279-89cc-f0182a93447f,Refund Rate Tracker,2026-04-24 23:45:39.859177
Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),Published,Workbook,1d0be8f6-be45-479b-b88e-45f771078f71,Repeat Purchase Analysis,2026-04-24 23:45:39.859177
Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),Published,Workbook,c2ace702-0637-4a8f-b50f-272069797e64,Order Fulfillment Monitor,2026-04-24 23:45:39.859177
Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),Published,Workbook,96d1f754-2477-4aaa-8059-33bbf934878f,Product Velocity,2026-04-24 23:45:39.859177
Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),Published,Workbook,8cb8d287-ace0-4b78-a25d-d0f45c5d0567,Revenue Overview,2026-04-24 23:45:39.859177
Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),Published,Flow,c15b16e3-21e1-413c-b722-d20bd66b52bd,Finance Core (Flow),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Datasource,6e0074a8-26ad-4e58-a495-91fdf124947d,Refunds Full (Prep),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Datasource,e2b3f1c1-03cc-4e22-bac6-7de2e568265d,Finance Core (Prep),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Datasource,17b5b806-6a49-4ace-8a3b-e5334133dae2,Customer360 (Prep),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Datasource,33ca4047-3afb-4c9a-a15d-8d9a0b73c7f5,Orders Enriched (Prep),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Datasource,4a3b6bee-5df9-4cc3-af0b-da50c17c5298,Campaign Performance (Prep),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Workbook,e515317b-f4cc-4cab-b2ed-50597106428f,Inventory Risk,2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Workbook,11ee41ed-954d-45dd-bdab-52949e93ae02,Return Behavior,2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Workbook,1d0be8f6-be45-479b-b88e-45f771078f71,Repeat Purchase Analysis,2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Workbook,c2ace702-0637-4a8f-b50f-272069797e64,Order Fulfillment Monitor,2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Workbook,8cb8d287-ace0-4b78-a25d-d0f45c5d0567,Revenue Overview,2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Flow,89e44c2a-74c6-4c04-9fa1-dc8510237f16,Customer360 (Flow),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Flow,bafcca6d-9cc6-401a-bb89-5f5d1c8c5f13,Refunds Full (Flow),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Flow,ea17929c-acb7-4d71-919c-87757b704766,Campaign Performance (Flow),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Flow,c15b16e3-21e1-413c-b722-d20bd66b52bd,Finance Core (Flow),2026-04-24 23:45:39.859177
Datasource,56fbf367-0c8e-46bd-8286-76eee7c0d73c,Orders,Published,Flow,e1b1c295-4ff1-49de-bfc0-7b221bf4c4ea,Orders Enriched (Flow),2026-04-24 23:45:39.859177
Datasource,34c60587-dc8f-4e8d-942b-49ea6b6e1aa9,Customers,Published,Datasource,17b5b806-6a49-4ace-8a3b-e5334133dae2,Customer360 (Prep),2026-04-24 23:45:39.859177
Datasource,34c60587-dc8f-4e8d-942b-49ea6b6e1aa9,Customers,Published,Workbook,1bea8d85-4bb1-4e53-9ad3-8706fcb29a10,Customer Acquisition,2026-04-24 23:45:39.859177
Datasource,34c60587-dc8f-4e8d-942b-49ea6b6e1aa9,Customers,Published,Workbook,19d1ed1a-5c17-4a81-bcc2-46f37ec77f7a,Top Customers,2026-04-24 23:45:39.859177
Datasource,34c60587-dc8f-4e8d-942b-49ea6b6e1aa9,Customers,Published,Workbook,1d0be8f6-be45-479b-b88e-45f771078f71,Repeat Purchase Analysis,2026-04-24 23:45:39.859177
Datasource,34c60587-dc8f-4e8d-942b-49ea6b6e1aa9,Customers,Published,Flow,89e44c2a-74c6-4c04-9fa1-dc8510237f16,Customer360 (Flow),2026-04-24 23:45:39.859177
Datasource,bd5e832e-4309-4115-8a17-b640c70c0b87,Tokens,Published,,,,2026-04-24 23:45:39.859177
Datasource,a2f663cb-46e0-417b-96cc-d072d55dfdce,Job Performance,Published,,,,2026-04-24 23:45:39.859177
Datasource,ab6de5d6-3d22-47e8-b347-baf8ae67d985,Superstore Datasource,Published,,,,2026-04-24 23:45:39.859177
Datasource,d1821afc-c3b4-4ed7-aa0d-b698ca67388d,Permissions,Published,,,,2026-04-24 23:45:39.859177
Datasource,250fe71c-bb86-44ca-a03c-6e94e64b1485,Site Content,Published,Workbook,b301bf54-08ad-4e99-9c3a-df5418a5c42d,Admin Insights Starter,2026-04-24 23:45:39.859177
Datasource,4a3b6bee-5df9-4cc3-af0b-da50c17c5298,Campaign Performance (Prep),Published,Workbook,1bea8d85-4bb1-4e53-9ad3-8706fcb29a10,Customer Acquisition,2026-04-24 23:45:39.859177
Datasource,4a3b6bee-5df9-4cc3-af0b-da50c17c5298,Campaign Performance (Prep),Published,Workbook,7f0d1798-bdaa-4c58-94e9-befea74bbd7f,Campaign ROI,2026-04-24 23:45:39.859177
Datasource,575deeda-2098-a4e9-33f7-4f08edbc4fda,World Indicators,Embedded,Workbook,a8528bc5-074a-44f4-bf52-44abb7defc2d,World Indicators,2026-04-24 23:45:39.859177
Datasource,8cf84cdf-5c13-05ef-a360-9ebd01e4661a,Sales Target,Embedded,Workbook,6090419a-336f-4e37-86aa-bae35146e398,Superstore,2026-04-24 23:45:39.859177
Datasource,ab2fd1c2-2b8c-fc96-93d2-3439bef69da5,Sample - Superstore,Embedded,Workbook,6090419a-336f-4e37-86aa-bae35146e398,Superstore,2026-04-24 23:45:39.859177
Datasource,dafb47ca-c111-266a-aaed-838e280b6963,Sales Commission,Embedded,Workbook,6090419a-336f-4e37-86aa-bae35146e398,Superstore,2026-04-24 23:45:39.859177
